rownames,project_id,created,modified,name,code,on_the_field_project_code,locality,project_start_date,project_end_date,description_text,description_html,is_billable,guid,created_by_id,last_modification_by_id,division_id,activity_id,funding_type_id,pathology_id,country_id,responsible_id,analytical_axe_id,status,short_name,level,final_impact_comments,initiation_of_the_project_comments,partners_comments,topic_comments,study_pouplation_comments,population_comments,goal_comments,numbers_of_epidemiologist,term_of_reference_has_been_written,protocol_has_been_written,is_there_an_initial_restitution,is_there_a_report_to_be_delivered,is_there_an_article_to_be_submitted,trigger_comments,has_ethical_review_bord,various_countries,sponsor,other_final_impact,goal_id,trigger_id,security_context_id,population_id,role_of_epicentre_id,impact_expected_id,health_structure_id,study_design_id,methodology_id,data_type_id,linked_project_id,topic_id
357,380,2014-09-03 ,2017-01-09 ,Explo  Ivory Coast  Ebola Surveillance  OCP,811316,"","",2014-08-01,2015-12-31, Epidemiologist &nbsp;supporting the exploratory mission in Ivory Coast supporting the MOH in Ivory Coast on Ebola preparedness ,"<span style=""font-size: 12pt; font-family: 'Times New Roman';""> </span><p style=""margin: 0cm 0cm 10pt;""><span lang=""EN-US"" style=""line-height: 115%; font-size: 9pt; font-family: Arial  sans-serif;"">Epidemiologist <span style=""mso-spacerun: yes;"">&nbsp;</span>supporting the exploratory mission in Ivory Coast supporting the MOH in Ivory Coast on Ebola preparedness</span></p><span style=""font-size: 12pt; font-family: 'Times New Roman';""> </span>",1,,33,60,5,1,1,35,31,10,395,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
358,381,2014-09-10 ,2016-04-27 ,Wound survey  OCP,821534,"","",2014-07-01,2015-12-31,"","",1,,60,60,5,9,1,8,1,12,396,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,64
359,382,2014-09-22 ,2018-11-30 ,Voyage Unitaid Hep C,823575,"","",2014-01-01,2014-12-31,préparation Grant Unitaid Hep C,"",1,,60,130,1,2,3,3,,79,478,4,"",1,,,"",Hep C chez HIV +,"",,,5,1,1,,,,"",0,1,"",Ouverture projet,6,6,,2,1,1,,1,5,3,,16
360,383,2014-09-22 ,2018-11-02 ,SAB Hep C  2014  OCG,822536,"","",2014-01-01,2014-12-31,code for the preparation of the new SAB for HCV . Not used ,"",1,,60,79,2,2,1,10,76,79,398,4,SAB HCV UNITAID,1,,,"","","",,,11,,,,,,"",,0,"","",,,,,,,,,,,411,16
361,384,2014-10-02 ,2018-08-09 ,Review of coverage methods - ACF,813317,"","",2014-01-01,2014-12-31,Review of coverage methods - ACF,"",1,,60,130,5,1,3,19,3,25,399,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",1,6,4,2,2,5,,1,1,6,,75
362,385,2014-10-03 ,2015-06-03 ,Response to Emergencies  Khartoum  2014  OCG,842119,"",Khartoum,2014-09-01,2014-12-31,"","",1,,33,97,5,3,1,20,82,16,400,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
363,386,2014-10-05 ,2015-07-06 ,Mortality Survey  Gore  Chad  october 2014  OCP,811318,"",Gore,2014-10-01,2015-12-31,Retrospective Mortality survey among CAR refugees in Gore  Chad  october 2014,Retrospective Mortality survey among CAR refugees in Gore  Chad  october 2014<br />,1,,52,60,5,1,1,6,9,52,401,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,71
364,387,2014-10-06 ,2018-08-22 ,821534 Wound Survey- OCP,TMP_61d730b0-8a97-4fbf-9539-badc00ab7833, ,"",2014-09-01,2014-09-03,Description,"",1,,12,60,4,1,1,8,1,12,,1,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,
365,388,2014-10-09 ,2016-09-02 ,Ebola task force  OCB,812324,"",Brussel,2014-10-01,2015-12-31,support epi ebola task force,support epi ebola task force,1,,33,60,5,1,1,35,83,23,408,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
366,389,2014-10-09 ,2015-04-09 ,Coverage survey OCV  Gambella  OCP,811323,"",Gambella,2014-09-01,2014-12-31,Coverage_Survey_Letchor   Kule 1 et Kule 2 apres vaccination cholera,Coverage_Survey_Letchor   Kule 1 et Kule 2 apres vaccination cholera,1,,33,60,5,1,1,22,34,51,407,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,6
367,390,2014-10-09 ,2016-10-19 ,Enquête de mortalité rétrospective  Monrovia  OCP,811325,"",Monrovia,2014-09-01,2015-12-31,retrospective cause specific mortality Monrovia by telephone,retrospective cause specific mortality Monrovia by telephone,1,,33,60,5,1,1,6,46,62,409,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,71
368,391,2014-10-09 ,2015-04-14 ,Villagebasedsurveillance_Ebola_Loffa_Liberia_OCG,812326,"",Loffa,2014-10-01,2015-05-31,"","",1,,33,60,5,1,1,35,46,7,410,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
369,392,2014-10-09 ,2018-08-07 ,Vaccinecoverage_PCV_Adjumani_Uganda_2014,811327,"",Adjumani,2014-09-15,2014-12-31,Vaccinecoverage_PCV_Adjumani_Uganda_2014,"",1,,33,130,8,1,1,1,13,33,411,4,"",4,,,"","","",,,1,,,,,,"",,0,"","",4,6,4,1,1,1,,1,1,3,,46
370,393,2014-10-09 ,2015-04-01 ,SMC Coverage Survey Madarounfa,811330,"",Madarounfa,2014-10-01,2015-12-31,"","",1,,39,60,5,1,1,4,10,39,414,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
371,394,2014-10-09 ,2018-08-04 ,Ebola surveillance in non affected surrounding countries OCB ,812329,"","",2014-10-01,2015-01-31,Ebola surveillance in non affected surrounding countries OCB ,"",1,,33,130,5,1,1,35,36,3,413,4,"",1,,,"","","",,,1,,,,,,"",0,0,"","",6,2,,,1,4,,1,12,4,,11
372,395,2014-10-10 ,2018-08-07 ,Surveilance - Marburg epidemic Uganda - OCP,811328,"",Kamapa  Kasese,2014-10-10,2014-12-31,Surveilance - Marburg epidemic Uganda - OCP,"",1,,39,130,7,1,1,7,13,33,412,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",6,2,4,,1,4,,1,12,4,,12
373,396,2014-10-16 ,2015-04-01 ,SMC coverage survey  Koutiala 2014  OCP,811331,"",Koutiala,2014-10-16,2015-12-31,"","",1,,39,60,5,1,1,4,8,39,415,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
374,397,2014-10-20 ,2014-12-08 ,SMC coverage survey  Moissala 2014,811332,"",Moissala,2014-10-01,2014-12-31,SMC + vaccination coverage survey,SMC + vaccination coverage survey,1,,39,60,5,1,1,4,9,39,416,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
375,398,2014-10-22 ,2014-12-08 ,SMC coverage survey  Guidan Roumdji 2014,812333,"",Guidan Roumdji,2014-10-22,2014-12-31,"","",1,,39,60,5,1,1,4,10,39,417,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,22
376,399,2014-10-23 ,2018-08-07 ,WHO OCV Guideline,823538,"","",2014-10-01,2014-12-31,WHO OCV Guideline,"",1,,60,130,1,2,3,1,,43,419,4,"",1,,,"","","",,,1,,,,,,Guideline,,0,"","",1,6,4,2,2,1,,4,13,4,,6
377,400,2014-10-27 ,2016-10-26 ,Ebola preparedness in at risk countries  OCB,812334,"","",2014-10-27,2015-03-31,To document and make recommendations based on an assessment of the level of preparedness  including surveillance and alert systems for countries neighboring and therefore at greatest risk for spread of the west africa ebola epidemic of 2014  specifically : Ivory Coast  Guinea Bissau  Mali and Senegal. Budget : 60 000 ,<p>To document and make recommendations based on an assessment of the level of preparedness  including surveillance and alert systems for countries neighboring and therefore at greatest risk for spread of the west africa ebola epidemic of 2014  specifically : Ivory Coast  Guinea Bissau  Mali and Senegal. </p><p>Budget : 60 000 <br /></p>,1,,3,60,5,1,1,35,8,33,418,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
378,401,2014-10-28 ,2018-10-26 ,Use of pegylated liposomal doxorubicin for treatment of Kaposi's Sarcoma  OCG (MZ160),822539,"",Maputo,2014-10-28,2019-12-31,Cohort study describing clinical outcomes&nbsp;of KS patients treated with pegylated liposomal doxorubicin in monotherapy.,Cohort study describing clinical outcomes&nbsp;of KS patients treated with pegylated liposomal doxorubicin in monotherapy.,1,,39,130,1,2,1,3,22,39,420,2,"",4,,,"","","",,,0,0,1,1,0,0,"",1,0,"","",,,4,2,1,4,,1,5,4,,20
379,402,2014-11-04 ,2015-06-03 ,Ebola epi training  ebolataskforce  OCB,842120,"",Brussel,2014-11-01,2014-12-31,"","",1,,33,97,5,3,1,35,83,25,421,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
380,403,2014-11-06 ,2018-11-02 ,Hepatitis C  Unitaid study  Iran OCP field,823579,"","",2015-01-01,2016-12-31,Iran site removed from the UNITAID grant   due to operational constrainsts . so cancel of the participation in the mulitcentric HCV cohort and in the evaluation of the HCV tests,"",1,,60,79,1,2,1,10,55,79,486,4,HCV UNITAID Iran,1,,,"",in PWUD and HIV population,"",,,2,,,,,,"",,0,"","",6,6,4,,2,,,1,5,4,,16
381,404,2014-11-06 ,2018-11-02 ,Hepatitis C  Unitaid study  Myanmar OCA field,823580,"","",2015-01-01,2016-12-31,code not used. All support under the code 823587 for the multicentric case series study,"",1,,60,79,1,2,1,10,21,79,487,4,Yangon OCA HCV ,1,,,"",in HIv population,"",,,2,,,,,,"",,0,"","",6,6,,2,2,,,1,5,4,,16
382,405,2014-11-06 ,2018-11-02 ,Hepatitis C  Unitaid study  Myanmar OCG field,823581,"","",2015-01-01,2016-12-31,code not use   all support for the multicentric case series series unde r823587,"",1,,60,79,1,2,1,10,21,79,488,4,"",1,,,"",in HIV population,"",,,2,,,,,,"",1,0,"","",6,6,,,2,,,2,5,4,411,16
383,406,2014-11-06 ,2018-11-02 ,Hepatitis C  Unitaid study  India OCA field,823582,"","",2015-01-01,2017-12-31,hep C india: longitudinal case series on going . work to implemention an evaluation of tests ,hep C india,1,,60,79,1,10,1,10,56,79,489,4,Manipur OCA HCV,4,,,"",in HIV population and PWUD ,"",,,2,0,1,0,0,0,"",1,0,"","",6,6,4,2,1,1,,1,5,3,,16
384,407,2014-11-06 ,2018-11-02 ,Hepatitis C  Unitaid study  India OCB field,823583,"","",2015-01-01,2016-12-31,Code as not use as no specific lab studies and stop of India Mumbai site due to operational contrainsts. use of the transversal code for the general support . stop of India Mumbai site due to operational contrainsts,"",1,,60,79,1,2,1,10,56,79,490,4,"",1,,,"",in HIV population ,"",,,2,,,,,,"",0,0,"","",6,6,,2,2,4,,2,5,4,411,16
385,408,2014-11-06 ,2018-11-02 ,Hepatitis C  Unitaid study  Mali OCP field,823584,ML904,"",2015-01-01,2016-12-31,the Multi-centric performance evaluation of Hepatitis-C (HCV) Rapid Diagnostic Tests and virological Point-of-Care Tests  is part of the HCV UNITAID grant.  The aim is to identify tests adapted to resource limited settings reliable for HIV infected patients. It will support the advocacy to improve access to HCV screening and diagnosis.  Methods  The study design is a Phase-two  diagnostic test evaluation in referral testing laboratories.  A head-to-head evaluation of the diagnostic performance (sensitivity and specificity or accuracy) of HCV Tests will be performed in referral laboratories. The objective is to evaluate at least two serological Rapid Diagnostic Test (RDTs) and three virological Point-of-Care (POC) HCV diagnostic tests. ,"<p class=""MsoNormal""><strong><span lang=""EN-US"">Background: </span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">The study  the Multi-centric performance evaluation of Hepatitis-C (HCV) Rapid Diagnostic Tests and virological Point-of-Care Tests  is part of the HCV UNITAID grant. </span></p> <p class=""MsoNormal""><span lang=""EN-US"">The aim is to identify tests adapted to resource limited settings reliable for HIV infected patients. It will support the advocacy to improve access to HCV screening and diagnosis. &nbsp;</span></p> <p class=""MsoNormal""><strong><span lang=""EN-US"">Methods </span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">The study design is a Phase-two  diagnostic test evaluation in referral testing laboratories. </span></p> <p class=""cohortnormal"" style=""line-height:115%""><span lang=""EN-GB"" style=""mso-bidi-font-size:11.0pt;line-height:115%;mso-ascii-font-family:Calibri;&#xA;mso-ascii-theme-font:minor-latin;mso-fareast-font-family:Calibri;mso-fareast-theme-font:&#xA;minor-latin;mso-hansi-font-family:Calibri;mso-hansi-theme-font:minor-latin;&#xA;mso-bidi-font-family:&quot;Times New Roman&quot;;mso-bidi-theme-font:minor-bidi;&#xA;mso-fareast-language:EN-US"">A head-to-head evaluation of the diagnostic performance (sensitivity and specificity or accuracy) of HCV Tests will be performed in referral laboratories. The objective is to evaluate at least </span><span lang=""EN-US"">two serological Rapid Diagnostic Test (RDTs) and three virological Point-of-Care (POC) HCV diagnostic tests. </span></p> <p class=""cohortnormal"" style=""line-height:115%""><span lang=""EN-GB"">Four different categories of samples will be provided from all sites participating in the study. The categories are: HCV(+)HIV(+)  HCV(+)HIV(-)  HCV(-) HIV(+)  HCV(-) HIV(-). </span><span lang=""EN-GB"" style=""mso-bidi-font-size:11.0pt;line-height:&#xA;115%;mso-ascii-font-family:Calibri;mso-ascii-theme-font:minor-latin;mso-fareast-font-family:&#xA;Calibri;mso-fareast-theme-font:minor-latin;mso-hansi-font-family:Calibri;&#xA;mso-hansi-theme-font:minor-latin;mso-bidi-font-family:&quot;Times New Roman&quot;;&#xA;mso-bidi-theme-font:minor-bidi;mso-fareast-language:EN-US"">Samples are pre-characterized using a reference technique  among HIV positive and HIV negative samples. For each group  376 samples are needed. </span></p> <p class=""MsoNormal""><span lang=""EN-GB"">The overall study will last two years.</span></p> <p class=""MsoNormal""><strong><span lang=""EN-US"">Reporting </span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">A quarterly report presenting the progress in the inclusion process will be produced and shared with each study site  MSF coordination and to local partners. </span></p> <p class=""MsoNormal""><span lang=""EN-US"">&nbsp;A semi-annual activity summary will be given to the HCV grant manager for the UNITAID sitrep.</span></p> <p class=""MsoNormal""><br /></p>",1,,60,79,1,2,1,10,8,79,491,4,"",1,,,"","","",,,2,,,,,,"",,0,"","",3,6,4,2,1,,,2,8,3,,16
386,409,2014-11-06 ,2018-11-02 ,Hepatitis C  Unitaid study  Mozambique OCG field,823585,"","",2015-01-01,2016-12-31,Code as not use as no specific lab studies . use of the transversal code823587  for the general support ,"",1,,60,79,1,2,1,10,22,79,492,4,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,411,16
387,410,2014-11-06 ,2018-11-02 ,Hepatitis C  Unitaid study  Kenya OCB field,823586,"","",2015-01-01,2016-12-31,Longitudinal case series stopped before protocol submission due to low prevalence. Only documentation of the prevalence and of the project with PWUD  Code as not use as no specific lab studies . use of the transversal code for the general support ,"",1,,60,79,1,2,1,10,14,79,493,4,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,411,16
388,411,2014-11-06 ,2019-01-04 ,Hepatitis C  Unitaid study  transversal costs,823587,"","",2015-01-01,2018-12-31,art of the Hepatitis C (HCV) UNITAID grant  to support the implementation of the HCV activities by MSF and the advocacy  led by the Access Campaign.  The main component is the multi-centric longitudinal cohort to evaluate Hepatitis C treatment effectiveness in HIV co-infected patients. Its aim is to assess the effectiveness  safety  feasibility of HCV treatment  including new Directly Acting Antivirals in HIV co-infected patients in low resource settings.,"<p class=""MsoNormal""><strong><span lang=""EN-US"">Background </span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">The project is part of the Hepatitis C (HCV) UNITAID grant  to support the implementation of the HCV activities by MSF and the advocacy  led by the Access Campaign. </span></p> <p class=""MsoNormal""><span lang=""EN-US"">The main component is the multi-centric longitudinal cohort to evaluate Hepatitis C treatment effectiveness in HIV co-infected patients. Its aim is to assess the effectiveness  safety  feasibility of HCV treatment  including new Directly Acting Antivirals in HIV co-infected patients in low resource settings.</span></p> <p class=""MsoNormal""><strong><span lang=""EN-US"">Methods </span></strong></p> <p class=""MsoNormal"" style=""margin-bottom:6.0pt""><span lang=""EN-US"">The multicentric cohort study is a prospective longitudinal observational cohort. </span></p> <p class=""MsoNormal"" style=""margin-bottom:6.0pt""><span lang=""EN-US"">The primary objective is t</span><span lang=""EN-US"">o</span><span lang=""EN-US""> assess the effectiveness of HCV curative treatments in patients with chronic HCV  co-infected with HIV. Treatment outcomes will be assessed by the HCV viral load at 12 weeks after completion of treatment. The Study Population is the adult HIV infected patients diagnosed with chronic hepatitis C. The patient follow-up is at least 24 weeks in the cohort. The study duration is 3 years. </span></p> <p class=""MsoNormal""><strong><span lang=""EN-US"">Reporting </span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">The study will use a specific database (Hepa-MUD). A quarterly standardized report will be done by Epicentre and shared with the sites and the MSF headquarters. This report will include study inclusions and the main characteristics of the participants. A semi-annual reporting (limited key indicators) will be given to the HCV grant manager for the UNITAID sitrep.&nbsp;</span></p>",1,,60,43,1,2,1,10,36,79,494,4,UNITAID HCV ,1,,,linked with CE study of UoB ,in HIV population   then extended to general poulation in some countries,"",,,4,0,1,0,0,0,"",1,1,"","",6,6,4,2,2,1,,1,5,4,,16
389,412,2014-11-17 ,2015-09-08 ,C- Enquête de mortalité  nutrition  vaccination - RCA/Bangassou - OCB,812335,"",Bangassou,2014-11-01,2015-01-31,Enquête baseline de mortalité rétrospective  nutrition  couverture vaccinale et accès aux soins à Bangassou  RCA.,Enquête baseline de mortalité rétrospective  nutrition  couverture vaccinale et accès aux soins à Bangassou  RCA.,1,,25,60,5,1,1,6,4,25,431,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,71
390,413,2014-11-18 ,2019-01-04 ,Seroprevalence  Ebola  Monrovia  OCP,811336,"",Monrovia,2014-10-01,2018-12-31,description,description,1,,33,60,8,1,1,35,46,81,432,4,"",1,,,"","","",,,1,,,,,,"",1,0,"","",6,2,,,,,,1,1,3,,11
391,414,2014-11-18 ,2017-01-09 ,Evaluation screening tool  Ebola  OCP,811337,"",Monrovia,2014-10-01,2015-12-31,"","",1,,33,60,5,1,1,35,46,33,433,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
392,415,2014-11-18 ,2015-04-14 ,Outreach activities  Ebola  OCP,811338,"",Monrovia,2014-10-01,2015-04-30,"","",1,,33,60,5,1,1,35,46,21,434,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
393,416,2014-11-18 ,2015-04-14 ,Epi platform  Ebola  Monrovia  OCG/OCP,814340,"",Monrovia,2014-10-01,2015-04-30,"","",1,,33,60,5,1,1,35,46,7,436,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
394,417,2014-11-18 ,2015-04-14 ,Community surveillance redemption  Ebola  OCG,812339,"",Monrovia,2014-09-01,2015-10-01,"","",1,,33,60,5,1,1,35,46,7,435,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
395,418,2014-11-18 ,2016-10-19 ,Scanpen support  Ebola  OCG,812341,"",Monrovia,2014-09-01,2015-07-31,"","",1,,33,60,5,1,1,35,46,62,437,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
396,419,2014-11-18 ,2015-06-23 ,Protocol MEURI  Ebola,814342,"","",2014-11-01,2015-03-31,"","",1,,33,97,5,1,1,35,,25,438,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
397,420,2014-11-18 ,2015-06-23 ,Surveillance Ebola  Mali  OCP,811343,"","",2014-11-01,2015-04-30,"","",1,,33,97,5,1,1,35,8,33,439,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
398,421,2014-11-25 ,2015-06-23 ,Ebola  Guinea  OCP,811344,"","",2014-11-01,2015-05-31,Setting up data collection and contact tracing for OCP GuInea ,<p>Setting up data collection and contact tracing for OCP GuInea </p>,1,,33,97,5,1,1,35,16,52,440,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
399,422,2014-11-26 ,2018-08-04 ,CIPHER,823549,"","",2014-11-01,2014-11-30,Collaboration pediatrie VIH CIPHER,Collaboration pediatrie VIH CIPHER,1,,28,130,2,2,3,3,36,28,441,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",,,,,,,,,,,,20
400,423,2014-11-30 ,2018-08-09 ,Coverage Survey  MDM,813379,"",Paris,2015-07-01,2015-12-31,Coverage Survey  MDM,"",1,,33,130,1,1,1,19,3,68,570,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",6,6,4,3,1,5,,1,1,3,,75
401,424,2014-12-01 ,2018-11-02 ,Hepatitis C  Unitaid study  Ukraine OCB field,823588,"","",2015-01-01,2016-12-31,Financement UNITAID via OCG Project didn't happen _ OCB Ukraine was removed from UNITAID project ,Financement UNITAID via OCG<br />,1,,60,79,1,2,1,10,57,79,495,4,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,16
402,425,2014-12-04 ,2017-01-10 ,RAPID trial protocol development  Wellcome Trust,823551,"","",2014-01-01,2016-12-31,"","",1,,60,60,1,2,1,8,,12,443,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,64
403,426,2014-12-04 ,2018-10-17 ,9 months MDRTB regimen in Papua New Guinea,821552,"",Papua New Guinea,2015-01-01,2015-12-31,9 months MDRTB regimen in Papua New Guinea,"",1,,26,130,5,9,1,31,67,26,444,4,"",1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,40
404,427,2014-12-04 ,2018-11-02 ,LAM test for TB diagnosis in severely malnourished children,822553,"",Madaoua,2015-01-01,2019-06-01,Description,Description,1,,26,60,1,2,1,31,10,9,445,2,"",1,,,"","","",,,0,1,1,1,0,0,"",1,0,"","",2,6,4,2,1,1,,1,9,4,,40
405,428,2014-12-05 ,2017-01-10 ,Réponse aux épidémies en Anglais  février 2015,844121,"","",2015-01-01,2015-12-31,"","",1,,16,60,5,3,1,20,3,16,446,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
406,429,2014-12-05 ,2019-01-04 ,Living Study ,823554,UG970,Mbarara,2015-03-01,2019-01-01,Funding : 150 KUSD from March 2015 - April 2017Background Current WHO treatment guidelines reemphasize the need to treat all HIV-infected children below 5 years of age and  for children below 3 years of age to initiate therapy with a PI-based regimen regardless of prior exposure to antiretrovirals. Few drugs are approved for treatment of infants and toddlers with HIV and combination antiretroviral therapies of 3 or 4 drugs &nbsp;acting synergistically to suppress HIV replication are limited and complex to administer. Cipla pharmaceuticals have developed alcohol-free LPV/r paediatric pellets in the same 4:1 drug ratio  in 40/10 mg capsules  which can be opened and administered orally to small children. This study will evaluate the effectiveness of LPV/r pellets in addition to AZT/3TC (or ABC/3TC) paediatric fixed dose combination (FDCs) tablet under routine treatment conditions in HIV infected infants and young children who cannot swallow tablets. Methods  In this &nbsp;open-label  prospective  non-randomized  multi-centre  single arm phase IIIb study children will receive LPV/r 40/10mg pellets &nbsp;with pediatric ABC/3TC 60/30mg or AZT/3TC 60/30mg tablets depending on what is considered best for the child by the attending health care worker. Reporting Monthly reporting of inclusions and progress will be sent to the Director of Research  Epicentre and Quarterly to Medical Director of MSF.,"<p class=""MsoNormal""><strong><span lang=""EN-US"">Funding : 150 KUSD from March 2015 - April 2017</span></strong></p><p class=""MsoNormal""><strong><span lang=""EN-US"">Background</span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">Current WHO treatment guidelines reemphasize the need to treat all HIV-infected children below 5 years of age and  for children below 3 years of age to initiate therapy with a PI-based regimen regardless of prior exposure to antiretrovirals. Few drugs are approved for treatment of infants and toddlers with HIV and combination antiretroviral therapies of 3 or 4 drugs &nbsp;acting synergistically to suppress HIV replication are limited and complex to administer. Cipla pharmaceuticals have developed alcohol-free LPV/r paediatric pellets in the same 4:1 drug ratio  in 40/10 mg capsules  which can be opened and administered orally to small children. This study will evaluate the effectiveness of LPV/r pellets in addition to AZT/3TC (or ABC/3TC) paediatric fixed dose combination (FDCs) tablet under routine treatment conditions in HIV infected infants and young children who cannot swallow tablets.<br /> <strong>Methods </strong><br /> In this &nbsp;open-label  prospective  non-randomized  multi-centre  single arm phase IIIb study children will receive LPV/r 40/10mg pellets &nbsp;with pediatric ABC/3TC 60/30mg or AZT/3TC 60/30mg tablets depending on what is considered best for the child by the attending health care worker.</span></p> <p class=""MsoNormal""><strong><span lang=""EN-US"">Reporting</span></strong></p> <p class=""MsoNormal""><span lang=""EN-US"">Monthly reporting of inclusions and progress will be sent to the Director of Research  Epicentre and Quarterly to Medical Director of MSF.</span></p>",1,,55,60,1,2,1,3,13,80,447,2,"",4,,,"","","",,,0,0,1,0,0,0,"",0,0,"","",,6,4,2,4,1,,1,3,3,,20
407,430,2014-12-08 ,2015-01-26 ,Best decontamination method for IS and GA,821555,"",Mbarara,2015-01-01,2015-12-31,To assess the best decontamination method before TB culture from induced sputum and gastric aspirate samples.,To assess the best decontamination method before TB culture from induced sputum and gastric aspirate samples.,1,,37,60,1,2,1,31,13,37,448,1,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,40
408,431,2014-12-08 ,2015-11-23 ,IIEHSS Study : Impact of Infant Expanded HIV Screening Strategy using Point Care EID in Ndhiwa  Kenya,821556,"",Ndhiwa,2015-01-01,2015-12-31,Sous financement UNITAID  expertise à facturer,Sous financement UNITAID  expertise à facturer,1,,60,60,5,2,1,3,14,17,449,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20
409,432,2014-12-08 ,2017-01-10 ,Populations en Situation Précaire  mars 2015,844122,"","",2015-01-01,2015-12-31,"","",1,,16,60,5,3,1,20,3,16,450,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
410,433,2014-12-08 ,2019-01-03 ,Populations en Situation Précaire  septembre 2015,844123,"","",2015-01-01,2015-12-31,PSP Sept 2015,"",1,,16,154,5,3,1,20,3,16,451,4,PSP Sept 2015,1,,,"","","",,,0,,,,,,"",,0,"","",,,,,,,,,,,,
411,434,2014-12-08 ,2018-12-05 ,Réponse aux épidémies en Français  décembre 2015,844124,"",Paris,2015-01-01,2015-12-31,RepEpi déc 2015,"",1,,16,154,5,3,1,20,3,16,452,4,RepEpi déc 2015,1,,,"","","",,,0,,,,,,"",,0,"","",,,4,,,,,,,,,
412,435,2014-12-09 ,2017-01-09 ,Ebola Freetown  mise en place de la collecte des données  OCG,812345,"",Freetown,2014-11-01,2015-12-31,"","",1,,60,60,5,1,1,35,60,7,453,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,11
413,436,2014-12-15 ,2017-01-10 ,Réponse aux urgences  PUC Kinshasa  OCB,842125,"",Kinshasa,2015-01-01,2015-12-31,"","",1,,16,60,5,3,1,20,1,16,454,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
414,437,2014-12-17 ,2018-08-04 ,Support RH epidemio base  OCB,812346,"","",2014-10-01,2015-11-30,Support RH epidemio base  OCB,"",1,,33,130,5,1,1,35,36,33,455,4,"",1,,,"","","",,,1,,,,,,"",,0,"","",7,7,,,2,4,,4,10,6,,78
415,438,2014-12-18 ,2018-10-23 ,Hospital support Mbarara,821557,UG964,Mbarara,2015-01-01,2021-12-01,Description,Description,1,,60,60,4,10,1,34,13,80,456,2,"",4,,,"","","",,,0,0,0,0,0,0,"",0,0,"","",,7,4,,,,,,,,,76
